record_type,id,category_id,name,description,price,image,available,sort_order
DATA,napitki-viko,napitki,Viko,,25000,,true,150
DATA,napitki-bliss,napitki,Bliss,,18000,,true,160
DATA,napitki-sochna-dolina,napitki,Сочна долина,,18000,,true,170
DATA,napitki-energetik,napitki,Энергетик,,15000,,true,180
DATA,napitki-mohita-grafin,napitki,Мохита (графин),,35000,,true,190
DATA,alkohol-baltika-3-ban,alkohol,Балтика 3 бан.,,18000,,true,10
DATA,alkohol-baltika-7-ban,alkohol,Балтика 7 бан.,,18000,,true,20
DATA,alkohol-baltika-8-ban,alkohol,Балтика 8 бан.,,20000,,true,30
DATA,alkohol-baltika-3-but,alkohol,Балтика 3 бут.,,20000,,true,40
DATA,alkohol-baltika-6-but,alkohol,Балтика 6 бут.,,22000,,true,50
DATA,alkohol-baltika-7-but,alkohol,Балтика 7 бут.,,20000,,true,60
DATA,alkohol-sarbast-but,alkohol,Сарбаст бут.,,16000,,true,70
DATA,alkohol-sarbast-ban,alkohol,Сарбаст бан.,,16000,,true,80
DATA,alkohol-tuborg-ban,alkohol,Туборг бан.,,20000,,true,90
DATA,alkohol-tuborg-but,alkohol,Туборг бут.,,18000,,true,100
DATA,alkohol-sarbast-filtr-razliv,alkohol,Сарбаст фильтр (разлив),,12000,,true,110
DATA,alkohol-sarbast-bez-filtr-razliv,alkohol,Сарбаст без фильтр (разлив),,12000,,true,120
DATA,alkohol-tuborg-razliv,alkohol,Туборг (разлив),,14000,,true,130
DATA,alkohol-pivnaya-assorti,alkohol,Пивная ассорти,"Сырные пал., курт, костички, чипсы, гренки",40000,,true,140
DATA,alkohol-medovaya-0-5,alkohol,Медовая 0.5,Водка,60000,,true,150
DATA,alkohol-medovaya-0-7,alkohol,Медовая 0.7,Водка,90000,,true,160
DATA,alkohol-new-uzbekistam-0-5,alkohol,New Uzbekistam 0.5,Водка,90000,,true,170
DATA,alkohol-new-uzbekistam-0-7,alkohol,New Uzbekistam 0.7,Водка,110000,,true,180
DATA,alkohol-baykal-0-5,alkohol,Байкал 0.5,Водка,80000,,true,190
DATA,alkohol-baykal-0-7,alkohol,Байкал 0.7,Водка,100000,,true,200
DATA,alkohol-kazak-0-5,alkohol,Казак 0.5,Водка,55000,,true,210
DATA,alkohol-konyak-uzbekistan,alkohol,Коньяк Узбекистан,,110000,,true,220
DATA,alkohol-vino,alkohol,Вино,,90000,,true,230
DATA,alkohol-syrnye-palochki,alkohol,Сырные палочки,,15000,,true,240
DATA,alkohol-kurt,alkohol,курт,,15000,,true,250
DATA,alkohol-kostichki,alkohol,костички,,15000,,true,260
DATA,alkohol-chipsy,alkohol,чипсы,,15000,,true,270
DATA,alkohol-grenki,alkohol,гренки,,15000,,true,280
